GAME_ID,EVENT_ID,INN_CT,TOTAL_INN,HOME_TEAM,HOME_TEAM_WINS,OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,RUNNER_FIRST,RUNNER_SECOND,RUNNER_THIRD,PIT_ID,SAVE_PIT_ID,FULL_NAME,made_save,IP,sit_id,succ_rate,save_dif,year
LAN201107310,85,9,9,0,0,1,2,6,1,0,1,putzj001,putzj001,J.J. Putz,True,0.67,091420.67,50.0,2.0,2011
LAN201108080,82,9,9,0,0,0,3,5,0,0,0,madsr001,madsr001,Ryan Madson,True,1.0,090201.0,97.3,1.027749229188078,2011
LAN201108090,68,9,9,0,0,0,0,2,0,0,0,madsr001,madsr001,Ryan Madson,True,1.0,090201.0,97.3,1.027749229188078,2011
LAN201108100,54,6,9,1,0,1,7,5,1,0,0,hawkb001,madsr001,Blake Hawksworth,False,2.67,061212.67,33.3,-0.3748125937031484,2011
LAN201108270,52,6,11,0,1,1,0,4,1,0,1,belim001,None,Matt Belisle,False,0.33,061420.33,33.3,-0.3748125937031484,2011
LAN201108270,76,8,11,0,1,2,5,6,1,1,0,betar001,None,Rafael Betancourt,False,3.33,082123.33,87.5,-2.0,2011
LAN201109120,80,9,9,0,0,2,2,7,1,1,1,putzj001,putzj001,J.J. Putz,True,0.33,092530.33,50.0,2.0,2011
LAN201109130,54,7,10,1,0,1,4,3,0,0,0,kuo-h001,putzj001,Hong-Chih Kuo,False,3.67,071103.67,50.0,-0.5,2011
LAN201109130,82,10,10,0,0,0,4,5,0,0,0,putzj001,putzj001,J.J. Putz,True,1.0,100101.0,96.6,1.0351966873706004,2011
LAN201109140,66,9,9,1,1,0,3,1,0,0,0,jansk001,jansk001,Kenley Jansen,True,1.0,090201.0,97.3,1.027749229188078,2011
LAN201109150,82,9,9,0,0,2,2,6,1,1,1,hanrj001,hanrj001,Joel Hanrahan,True,0.33,092430.33,50.0,2.0,2011
LAN201109200,71,9,9,1,1,0,2,1,0,0,0,guerj002,guerj002,Javy Guerra,True,1.0,090101.0,95.2,1.050420168067227,2011
LAN201109210,87,9,9,0,0,2,4,8,1,1,0,wilsb001,wilsb001,Brian Wilson,True,0.33,092420.33,50.0,2.0,2011
LAN201204110,70,9,9,1,1,0,4,1,0,0,0,guerj002,guerj002,Javy Guerra,True,1.0,090301.0,99.2,1.0080645161290323,2012
LAN201204150,56,6,9,1,1,1,4,2,1,1,1,lindj004,None,Josh Lindblom,False,2.67,061232.67,33.3,-0.3748125937031484,2012
LAN201204250,66,9,9,1,0,0,2,1,0,0,0,guerj002,kimbc001,Javy Guerra,False,0.33,090100.33,95.2,-5.208333333333337,2012
LAN201204270,67,9,9,1,1,0,3,2,0,0,0,jansk001,jansk001,Kenley Jansen,True,1.0,090101.0,95.2,1.050420168067227,2012
LAN201204290,65,9,9,1,1,0,2,0,0,0,0,jansk001,jansk001,Kenley Jansen,True,1.0,090201.0,97.3,1.027749229188078,2012
LAN201205080,67,9,9,0,0,2,1,2,0,0,0,garcj002,garcj002,Santiago Casilla,True,0.33,092100.33,50.0,2.0,2012
LAN201205200,75,9,9,1,1,0,6,5,0,0,0,jansk001,jansk001,Kenley Jansen,True,1.0,090101.0,95.2,1.050420168067227,2012
LAN201205200,58,6,9,0,1,2,3,5,1,1,0,martv002,jansk001,Victor Marte,False,1.33,062221.33,33.3,-0.3748125937031484,2012
LAN201205250,75,9,9,0,0,0,1,3,0,0,0,myerb001,myerb001,Brett Myers,True,1.0,090201.0,97.3,1.027749229188078,2012
LAN201205290,63,9,9,0,0,0,1,2,0,0,0,axfoj001,axfoj001,John Axford,True,1.0,090101.0,95.2,1.050420168067227,2012
LAN201206150,61,6,9,0,1,2,3,5,1,0,1,craij001,jansk001,Jesse Crain,False,0.33,062220.33,33.3,-0.3748125937031484,2012
LAN201207130,66,9,9,1,1,0,2,1,0,0,0,jansk001,jansk001,Kenley Jansen,True,1.0,090101.0,95.2,1.050420168067227,2012
LAN201207140,76,9,9,1,0,0,6,5,0,0,0,jansk001,streh001,Kenley Jansen,False,1.0,090101.0,95.2,-5.208333333333337,2012
LAN201207160,67,9,9,0,0,0,2,3,0,0,0,papej001,papej001,Jonathan Papelbon,True,1.0,090101.0,95.2,1.050420168067227,2012
LAN201207170,58,8,9,1,0,0,2,1,0,0,0,belir001,papej001,Ronald Belisario,False,2.0,080102.0,29.4,-0.3541076487252125,2012
LAN201207180,78,10,12,0,1,0,1,3,0,0,0,papej001,None,Jonathan Papelbon,False,3.0,100203.0,96.2,-6.5789473684210575,2012
LAN201208040,63,9,9,1,1,0,3,1,0,0,0,jansk001,jansk001,Kenley Jansen,True,1.0,090201.0,97.3,1.027749229188078,2012
LAN201208050,64,7,9,0,1,2,4,5,1,0,1,russj003,None,James Russell,False,2.33,072122.33,50.0,-0.5,2012
LAN201208200,67,9,9,0,0,2,1,2,0,0,0,lopej002,lopej002,Javier Lopez,True,0.33,092100.33,50.0,2.0,2012
LAN201208210,72,9,9,0,0,1,1,4,1,0,0,lopej002,lopej002,Javier Lopez,True,0.67,091310.67,50.0,2.0,2012
